Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:46:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:46:24        all      0.06      0.00      0.00      0.00      0.00     99.94
14:46:25        all      0.02      0.00      0.00      0.00      0.00     99.98
14:46:26        all      0.06      0.00      0.00      0.00      0.00     99.94
14:46:27        all      0.00      0.00      0.02      0.00      0.00     99.98
14:46:28        all      0.00      0.00      0.02      0.00      0.00     99.98
14:46:29        all      0.00      0.00      0.02      0.00      0.00     99.98
14:46:30        all      0.02      0.00      0.00      0.00      0.00     99.98
14:46:31        all      0.02      0.00      0.00      0.00      0.00     99.98
14:46:32        all      3.94      0.00      3.89      0.00      0.00     92.17
14:46:33        all      9.68      0.00      8.59      0.00      0.00     81.73
14:46:34        all      8.80      0.00      9.49      0.00      0.00     81.71
14:46:35        all      9.49      0.00      9.64      0.00      0.00     80.87
14:46:36        all      8.62      0.00      9.42      0.00      0.00     81.96
14:46:37        all      9.75      0.00      9.62      0.00      0.00     80.64
14:46:38        all      9.20      0.00      8.86      0.00      0.00     81.94
14:46:39        all      9.40      0.00      9.08      0.00      0.00     81.52
14:46:40        all      9.73      0.00      8.74      0.00      0.00     81.53
14:46:41        all      9.69      0.00      9.63      0.00      0.00     80.67
14:46:42        all     10.55      0.00      9.03      0.00      0.00     80.41
14:46:43        all      8.99      0.00      8.93      0.00      0.00     82.08
14:46:44        all      9.32      0.00      9.29      0.00      0.00     81.39
14:46:45        all      8.81      0.00      9.83      0.00      0.00     81.36
14:46:46        all      9.68      0.00      9.08      0.00      0.00     81.24
14:46:47        all      9.35      0.00      9.13      0.00      0.00     81.52
14:46:48        all      9.29      0.00      8.62      0.00      0.00     82.09
14:46:49        all      9.73      0.00      9.13      0.00      0.00     81.14
Average:        all      6.26      0.00      6.11      0.00      0.00     87.63
