procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 94662620  25128 1911612    0    0     4   472 52788    3  1  1 99  0  0  0
 0  0      0 94662116  25128 1911620    0    0     0    20  759  458  0  0 100  0  0  0
 0  0      0 94662368  25128 1911628    0    0     0     0  842  595  0  0 100  0  0  0
 0  0      0 94661864  25128 1911636    0    0     0     0  599  361  0  0 100  0  0  0
 0  0      0 94661400  25128 1911704    0    0     0     0  302  221  0  0 100  0  0  0
 0  0      0 94661400  25128 1911720    0    0     0     0  117  129  0  0 100  0  0  0
 0  0      0 94661400  25128 1911740    0    0     0   102  272  245  0  0 100  0  0  0
 0  0      0 94661400  25128 1911760    0    0     0     0  129  151  0  0 100  0  0  0
 0  0      0 94661400  25128 1911776    0    0     0     0  114  120  0  0 100  0  0  0
 0  0      0 94661400  25128 1911800    0    0     0     0  114  117  0  0 100  0  0  0
12  0      0 94371616  25128 1911852    0    0     0     0 711708 236651  7  7 86  0  0  0
 8  0      0 93966656  25128 1911868    0    0     0   132 916636 303117 10  9 81  0  0  0
 8  0      0 93524760  25128 1911888    0    0     0     0 915806 302362  9  9 81  0  0  0
 7  0      0 93313196  25128 1911912    0    0     0     0 916977 301825  9  9 82  0  0  0
10  0      0 93102276  25128 1911932    0    0     0     0 928550 303582  9 10 82  0  0  0
12  0      0 92320716  25128 1911952    0    0     0     0 901308 295552 10  9 80  0  0  0
 8  0      0 92110996  25128 1911972    0    0     0   117 919152 293655  9  9 82  0  0  0
10  0      0 91883764  25128 1911996    0    0     0     0 923938 292451  9  9 82  0  0  0
 8  0      0 91687036  25128 1912012    0    0     0     0 922962 294734 10  9 81  0  0  0
10  0      0 91381164  25128 1912036    0    0     0     0 921686 292370 10  9 81  0  0  0
 8  0      0 90274512  25128 1912056    0    0     0     0 876540 297177 11  9 81  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  1      0 90091952  25128 1912076    0    0     0     8 927750 297619  9  9 82  0  0  0
 8  0      0 89872924  25128 1912096    0    0     0   108 920996 296345  9  9 82  0  0  0
 9  0      0 89643648  25128 1912116    0    0     0     0 915931 294854  9 10 81  0  0  0
 6  0      0 89441176  25128 1912140    0    0     0     0 914486 293838 10  9 81  0  0  0
 7  0      0 89214336  25128 1912160    0    0     0     0 917618 295822  9  9 82  0  0  0
