Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:45:27      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:45:28            0       580      0.03      0.74      1.04         0
14:45:29            0       579      0.03      0.74      1.04         0
14:45:30            0       579      0.03      0.74      1.04         0
14:45:31            0       611      0.03      0.73      1.03         0
14:45:32           13       653      0.03      0.73      1.03         0
14:45:33            5       653      0.03      0.73      1.03         0
14:45:34            9       653      0.03      0.73      1.03         0
14:45:35            4       653      0.03      0.73      1.03         0
14:45:36           15       651      0.43      0.80      1.05         0
14:45:37           11       651      0.43      0.80      1.05         0
14:45:38            7       651      0.43      0.80      1.05         0
14:45:39            5       651      0.43      0.80      1.05         0
14:45:40            7       651      0.43      0.80      1.05         0
14:45:41            6       651      0.87      0.89      1.08         0
14:45:42            1       651      0.87      0.89      1.08         0
14:45:43            9       651      0.87      0.89      1.08         0
14:45:44           12       651      0.87      0.89      1.08         0
14:45:45            3       651      0.87      0.89      1.08         0
14:45:46            9       651      1.20      0.96      1.10         0
14:45:47           11       651      1.20      0.96      1.10         0
14:45:48            8       651      1.20      0.96      1.10         0
14:45:49            8       651      1.20      0.96      1.10         0
14:45:50            3       651      1.20      0.96      1.10         0
14:45:51            7       650      1.20      0.96      1.10         0
14:45:52            4       650      1.43      1.01      1.12         0
14:45:53           10       648      1.43      1.01      1.12         0
Average:            6       641      0.65      0.85      1.07         0
