Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:45:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:45:28        all      0.06      0.00      0.00      0.00      0.00     99.94
14:45:29        all      0.08      0.00      0.02      0.00      0.00     99.90
14:45:30        all      0.00      0.00      0.00      0.00      0.00    100.00
14:45:31        all      0.00      0.00      0.00      0.00      0.00    100.00
14:45:32        all      0.76      0.00      4.53      0.13      0.00     94.58
14:45:33        all      3.03      0.00     14.30      0.00      0.00     82.68
14:45:34        all      2.24      0.00     12.66      0.00      0.00     85.10
14:45:35        all      2.83      0.00     14.93      0.00      0.00     82.23
14:45:36        all      2.72      0.00     11.77      0.00      0.00     85.51
14:45:37        all      3.07      0.00     13.47      0.00      0.00     83.46
14:45:38        all      2.48      0.00     12.10      0.00      0.00     85.42
14:45:39        all      2.66      0.00     12.41      0.00      0.00     84.93
14:45:40        all      2.89      0.00     12.59      0.00      0.00     84.52
14:45:41        all      2.62      0.00     13.19      0.00      0.00     84.20
14:45:42        all      3.00      0.00     13.04      0.00      0.00     83.95
14:45:43        all      2.41      0.00     11.65      0.02      0.00     85.92
14:45:44        all      2.31      0.00     12.16      0.00      0.00     85.53
14:45:45        all      2.43      0.00     12.82      0.00      0.00     84.75
14:45:46        all      2.27      0.00     11.99      0.00      0.00     85.74
14:45:47        all      2.78      0.00     12.66      0.00      0.00     84.57
14:45:48        all      2.45      0.00     13.05      0.00      0.00     84.50
14:45:49        all      2.86      0.00     13.01      0.00      0.00     84.13
14:45:50        all      2.58      0.00     14.09      0.00      0.00     83.33
14:45:51        all      2.40      0.00     14.20      0.00      0.00     83.40
14:45:52        all      2.44      0.00     13.37      0.00      0.00     84.19
14:45:53        all      2.40      0.00     11.49      0.00      0.00     86.11
Average:        all      2.12      0.00     10.49      0.01      0.00     87.38
