procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95905696  24280 792532    0    0     4   163 76056   16  0  1 99  0  0  0
 0  0      0 95904700  24280 792540    0    0     0     0  677  329  0  0 100  0  0  0
 0  0      0 95904712  24280 792548    0    0     0     0  907  408  0  0 100  0  0  0
 0  0      0 95904724  24280 792552    0    0     0     0  545  375  0  0 100  0  0  0
 0  0      0 95904724  24280 792552    0    0     0     0  124  132  0  0 100  0  0  0
 0  0      0 95904472  24280 792552    0    0     0     0  262  188  0  0 100  0  0  0
 4  0      0 95844140  24288 792788    0    0     0   587 882090 977476  2 10 88  0  0  0
 8  0      0 95843960  24288 792788    0    0     0     0 1396230 1541498  3 14 84  0  0  0
 8  0      0 95843856  24288 792788    0    0     0     0 1414709 1557032  2 13 84  0  0  0
11  0      0 95843780  24288 792788    0    0     0     0 1407154 1527764  3 15 83  0  0  0
13  0      0 95843600  24288 792792    0    0     0     0 1383634 1541576  3 12 85  0  0  0
10  0      0 95843692  24288 792792    0    0     0    14 1394724 1533539  3 12 85  0  0  0
 5  0      0 95843580  24288 792792    0    0     0     0 1427652 1548787  2 12 86  0  0  0
 9  0      0 95843484  24288 792796    0    0     0     0 1438673 1536818  3 13 85  0  0  0
 8  0      0 95843404  24288 792796    0    0     0     0 1418050 1541346  3 13 84  0  0  0
11  0      0 95843248  24288 792800    0    0     0     0 1401126 1541686  3 13 84  0  0  0
 1  0      0 95843168  24288 792800    0    0     0     5 1412864 1544922  3 12 85  0  0  0
 5  0      0 95843092  24288 792800    0    0     0     0 1422538 1549184  3 12 85  0  0  0
 3  0      0 95842980  24288 792800    0    0     0     0 1408226 1539472  2 12 85  0  0  0
 4  0      0 95842816  24288 792800    0    0     0     0 1390660 1532818  3 12 85  0  0  0
 6  0      0 95842676  24288 792800    0    0     0     0 1414384 1552923  2 13 85  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 95842836  24288 792800    0    0     0     6 1418192 1542128  3 13 84  0  0  0
 9  0      0 95842712  24288 792804    0    0     0     0 1429304 1558222  2 12 86  0  0  0
 9  0      0 95842564  24288 792804    0    0     0     0 1435378 1542621  3 14 83  0  0  0
11  0      0 95842432  24288 792804    0    0     0     0 1454081 1552477  2 13 84  0  0  0
 4  0      0 95842296  24288 792808    0    0     0     0 1436922 1553108  2 14 83  0  0  0
