Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:45:23      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:45:24            0       621      0.03      1.01      1.61         0
14:45:25            0       623      0.11      1.01      1.60         0
14:45:26            0       620      0.11      1.01      1.60         0
14:45:27            0       620      0.11      1.01      1.60         0
14:45:28            0       620      0.11      1.01      1.60         0
14:45:29            0       620      0.11      1.01      1.60         0
14:45:30            0       620      0.10      0.99      1.59         0
14:45:31            0       620      0.10      0.99      1.59         0
14:45:32            3       619      0.10      0.99      1.59         0
14:45:33            7       619      0.10      0.99      1.59         0
14:45:34           10       619      0.10      0.99      1.59         0
14:45:35            5       619      0.57      1.08      1.62         0
14:45:36            8       619      0.57      1.08      1.62         0
14:45:37            4       619      0.57      1.08      1.62         0
14:45:38            8       619      0.57      1.08      1.62         0
14:45:39            8       619      0.57      1.08      1.62         0
14:45:40            6       619      0.85      1.12      1.63         0
14:45:41            5       619      0.85      1.12      1.63         0
14:45:42            8       619      0.85      1.12      1.63         0
14:45:43            3       619      0.85      1.12      1.63         0
14:45:44            8       619      0.85      1.12      1.63         0
14:45:45            9       619      1.26      1.20      1.65         0
14:45:46            2       619      1.26      1.20      1.65         0
14:45:47            7       618      1.26      1.20      1.65         0
14:45:48            4       619      1.26      1.20      1.65         0
14:45:49            7       617      1.26      1.20      1.65         0
Average:            4       619      0.56      1.08      1.62         0
