Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:45:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:45:24        all      0.06      0.00      0.00      0.00      0.00     99.94
14:45:25        all      0.04      0.00      0.00      0.00      0.00     99.96
14:45:26        all      0.04      0.00      0.02      0.00      0.00     99.94
14:45:27        all      0.00      0.00      0.00      0.00      0.00    100.00
14:45:28        all      0.00      0.00      0.00      0.00      0.00    100.00
14:45:29        all      0.00      0.00      0.00      0.00      0.00    100.00
14:45:30        all      0.00      0.00      0.00      0.00      0.00    100.00
14:45:31        all      0.00      0.00      0.00      0.00      0.00    100.00
14:45:32        all      2.36      0.00      3.66      0.00      0.00     93.98
14:45:33        all      6.87      0.00      8.54      0.00      0.00     84.59
14:45:34        all      7.24      0.00      8.04      0.00      0.00     84.72
14:45:35        all      7.02      0.00      7.89      0.00      0.00     85.09
14:45:36        all      7.18      0.00      8.63      0.00      0.00     84.19
14:45:37        all      6.78      0.00      8.27      0.00      0.00     84.95
14:45:38        all      6.62      0.00      9.18      0.00      0.00     84.20
14:45:39        all      6.64      0.00      8.76      0.00      0.00     84.60
14:45:40        all      6.81      0.00      8.76      0.00      0.00     84.44
14:45:41        all      6.74      0.00      8.63      0.00      0.00     84.64
14:45:42        all      6.84      0.00      8.32      0.00      0.00     84.84
14:45:43        all      6.63      0.00      8.88      0.00      0.00     84.50
14:45:44        all      6.70      0.00      8.19      0.00      0.00     85.12
14:45:45        all      6.56      0.00      9.02      0.00      0.00     84.42
14:45:46        all      7.19      0.00      8.87      0.00      0.00     83.94
14:45:47        all      6.35      0.00      8.34      0.00      0.00     85.32
14:45:48        all      6.89      0.00      8.61      0.00      0.00     84.51
14:45:49        all      7.11      0.00      8.86      0.00      0.00     84.04
Average:        all      4.52      0.00      5.69      0.00      0.00     89.78
