procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 94618192  25124 1911724    0    0     4   474 51681    2  1  1 99  0  0  0
 0  0      0 94617184  25124 1911732    0    0     0    18  799  454  0  0 100  0  0  0
 0  0      0 94616680  25124 1911740    0    0     0     0  787  557  0  0 100  0  0  0
 0  0      0 94619724  25124 1911744    0    0     0     0  695  336  0  0 100  0  0  0
 0  0      0 94619500  25124 1911780    0    0     0     0  350  236  0  0 100  0  0  0
 0  0      0 94619500  25124 1911796    0    0     0     0  110  123  0  0 100  0  0  0
 0  0      0 94619500  25124 1911816    0    0     0    11  224  236  0  0 100  0  0  0
 0  0      0 94619500  25124 1911836    0    0     0     0  251  199  0  0 100  0  0  0
 0  0      0 94619500  25124 1911852    0    0     0     0  203  124  0  0 100  0  0  0
 0  0      0 94619500  25124 1911876    0    0     0     0  125  142  0  0 100  0  0  0
 6  0      0 94615948  25124 1911896    0    0     0     0 663469 220977  5  7 88  0  0  0
 8  0      0 94620360  25124 1911912    0    0     0     0 935800 305865  7  8 85  0  0  0
 7  0      0 94619632  25124 1911932    0    0     0     5 937964 306278  7  8 85  0  0  0
 8  0      0 94619380  25124 1911956    0    0     0     0 925195 302845  7  8 85  0  0  0
 3  0      0 94620140  25124 1911976    0    0     0     0 930760 304992  7  8 85  0  0  0
 5  0      0 94619132  25124 1911996    0    0     0     0 929057 303870  7  8 85  0  0  0
 4  0      0 94618880  25124 1912016    0    0     0     0 932714 301769  6 10 84  0  0  0
10  0      0 94618880  25124 1912036    0    0     0     5 928691 301287  7  8 85  0  0  0
 5  0      0 94618628  25124 1912052    0    0     0     0 930436 302741  7  9 84  0  0  0
 5  0      0 94618376  25124 1912072    0    0     0     0 929766 302156  7  8 85  0  0  0
 5  0      0 94618376  25124 1912092    0    0     0     0 934982 303748  6  9 85  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 94617872  25124 1912112    0    0     0   384 933229 302198  7  9 85  0  0  0
 7  0      0 94621212  25124 1912132    0    0     0    17 927062 301518  7  9 85  0  0  0
10  0      0 94624964  25124 1912152    0    0     0     0 925189 300170  7  8 85  0  0  0
 6  0      0 94624712  25124 1912176    0    0     0     0 934050 301607  6  9 84  0  0  0
 5  0      0 94624712  25124 1912196    0    0     0     0 927056 300185  7  8 85  0  0  0
