Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:48:28      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:48:29            0       590      2.15      1.57      1.31         0
14:48:30            0       589      2.15      1.57      1.31         0
14:48:31            0       589      2.15      1.57      1.31         0
14:48:32            0       591      1.98      1.54      1.30         0
14:48:33            7       663      1.98      1.54      1.30         0
14:48:34            6       663      1.98      1.54      1.30         0
14:48:35            2       663      1.98      1.54      1.30         0
14:48:36           17       663      1.98      1.54      1.30         0
14:48:37            2       663      2.62      1.68      1.35         0
14:48:38           14       663      2.62      1.68      1.35         0
14:48:39            4       663      2.62      1.68      1.35         0
14:48:40            4       663      2.62      1.68      1.35         0
14:48:41            5       663      2.62      1.68      1.35         0
14:48:42           14       663      2.57      1.69      1.35         0
14:48:43            3       663      2.57      1.69      1.35         0
14:48:44            9       663      2.57      1.69      1.35         0
14:48:45            1       663      2.57      1.69      1.35         0
14:48:46           10       663      2.57      1.69      1.35         0
14:48:47            0       663      3.01      1.79      1.39         0
14:48:48            2       663      3.01      1.79      1.39         0
14:48:49            9       663      3.01      1.79      1.39         0
14:48:50            5       663      3.01      1.79      1.39         0
14:48:51            1       663      3.01      1.79      1.39         0
14:48:52            2       662      4.13      2.04      1.47         0
14:48:53           11       662      4.13      2.04      1.47         0
14:48:54            3       660      4.13      2.04      1.47         0
Average:            5       652      2.68      1.71      1.36         0
