procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95891264  24320 792668    0    0     4   162 81050   17  0  1 99  0  0  0
 0  0      0 95890508  24320 792680    0    0     0     0  641  315  0  0 100  0  0  0
 0  0      0 95890788  24320 792684    0    0     0     0  620  378  0  0 100  0  0  0
 0  0      0 95890536  24320 792692    0    0     0     0  592  401  0  0 100  0  0  0
 0  0      0 95890536  24320 792692    0    0     0    46  144  144  0  0 100  0  0  0
 0  0      0 95890536  24320 792692    0    0     0     9  236  172  0  0 100  0  0  0
 1  0      0 95843944  24336 792896    0    0     0   567 643492 626415  2  8 91  0  0  0
 8  0      0 95832132  24336 792896    0    0     0     0 1675895 1675950  4 18 79  0  0  0
 7  0      0 95831132  24336 792896    0    0     0     0 1660866 1655739  3 18 79  0  0  0
 0  0      0 95830308  24336 792900    0    0     0     0 1670687 1671028  3 16 81  0  0  0
10  0      0 95831284  24336 792900    0    0     0     0 1657764 1652491  3 18 79  0  0  0
 3  0      0 95829944  24336 792900    0    0     0    14 1667688 1662333  3 17 79  0  0  0
 8  0      0 95832440  24336 792900    0    0     0     0 1669199 1667250  3 17 80  0  0  0
12  0      0 95832604  24336 792904    0    0     0     0 1670015 1668390  4 17 79  0  0  0
24  0      0 95830584  24336 792904    0    0     0     0 1662820 1660702  2 16 81  0  0  0
12  0      0 95832600  24336 792904    0    0     0     0 1668370 1666611  4 17 80  0  0  0
19  0      0 95834236  24336 792908    0    0     0     5 1635208 1630373  4 18 79  0  0  0
 9  0      0 95833056  24336 792908    0    0     0     0 1685663 1684675  3 15 82  0  0  0
14  0      0 95833036  24336 792908    0    0     0     0 1680994 1677460  3 18 79  0  0  0
 6  0      0 95829864  24336 792908    0    0     0     0 1674704 1679311  3 18 79  0  0  0
 7  0      0 95830344  24336 792908    0    0     0     0 1632292 1623904  4 19 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 95832136  24336 792908    0    0     0     5 1650845 1650223  3 16 80  0  0  0
 3  0      0 95833792  24336 792908    0    0     0     0 1687974 1697612  3 17 81  0  0  0
 3  0      0 95834320  24336 792912    0    0     0     0 1668404 1674077  3 18 79  0  0  0
 7  0      0 95835356  24336 792912    0    0     0     0 1669227 1664980  3 17 80  0  0  0
10  0      0 95830124  24336 792912    0    0     0     0 1656814 1659567  4 17 79  0  0  0
