Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:48:24      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:48:25            0       629      2.02      1.62      1.74         0
14:48:26            0       630      1.86      1.59      1.73         0
14:48:27            0       628      1.86      1.59      1.73         0
14:48:28            0       628      1.86      1.59      1.73         0
14:48:29            0       628      1.86      1.59      1.73         0
14:48:30            0       628      1.86      1.59      1.73         0
14:48:31            0       628      1.71      1.57      1.72         0
14:48:32            0       628      1.71      1.57      1.72         0
14:48:33           21       628      1.71      1.57      1.72         0
14:48:34            8       628      1.71      1.57      1.72         0
14:48:35           13       628      1.71      1.57      1.72         0
14:48:36            6       628      2.45      1.72      1.77         0
14:48:37           12       628      2.45      1.72      1.77         0
14:48:38           11       628      2.45      1.72      1.77         0
14:48:39            4       628      2.45      1.72      1.77         0
14:48:40           10       628      2.45      1.72      1.77         0
14:48:41            3       628      2.66      1.78      1.79         0
14:48:42           17       628      2.66      1.78      1.79         0
14:48:43            1       628      2.66      1.78      1.79         0
14:48:44            2       628      2.66      1.78      1.79         0
14:48:45            4       628      2.66      1.78      1.79         0
14:48:46            4       628      2.52      1.76      1.78         0
14:48:47            9       628      2.52      1.76      1.78         0
14:48:48           12       627      2.52      1.76      1.78         0
14:48:49            5       628      2.52      1.76      1.78         0
14:48:50           15       626      2.52      1.76      1.78         0
Average:            6       628      2.23      1.68      1.76         0
