procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 94649200  25148 1911688    0    0     4   469 54939    3  1  1 99  0  0  0
 0  0      0 94648232  25148 1911696    0    0     0     0  736  471  0  0 100  0  0  0
 0  0      0 94648232  25148 1911700    0    0     0    20  769  552  0  0 100  0  0  0
 0  0      0 94647728  25148 1911708    0    0     0     0  621  380  0  0 100  0  0  0
 0  0      0 94647488  25148 1911716    0    0     0     0  329  226  0  0 100  0  0  0
 0  0      0 94647488  25148 1911732    0    0     0     0  306  137  0  0 100  0  0  0
 0  0      0 94647492  25148 1911752    0    0     0     1  211  225  0  0 100  0  0  0
 0  0      0 94647492  25148 1911772    0    0     0    11  154  196  0  0 100  0  0  0
 0  0      0 94647492  25148 1911788    0    0     0     0  112  131  0  0 100  0  0  0
 0  0      0 94647492  25148 1911812    0    0     0     0  107  120  0  0 100  0  0  0
10  0      0 94646848  25148 1911832    0    0     0     0 611059 160467  6  7 87  0  0  0
 6  0      0 94645472  25148 1911848    0    0     0     0 1118132 278698 12 12 76  0  0  0
 2  0      0 94645224  25148 1911868    0    0     0     5 1117415 279589 11 13 76  0  0  0
 9  0      0 94644208  25148 1911892    0    0     0     0 1119545 280631 11 12 77  0  0  0
19  0      0 94643692  25148 1911912    0    0     0     0 1119926 282387 12 12 76  0  0  0
12  0      0 94643440  25148 1911932    0    0     0     0 1116158 279381 11 12 77  0  0  0
12  0      0 94643184  25148 1911952    0    0     0     0 1115222 277043 10 11 79  0  0  0
 2  0      0 94643180  25148 1911972    0    0     0     5 1118578 279285 10 12 78  0  0  0
 8  0      0 94642676  25148 1911988    0    0     0     0 1124301 282306 10 12 78  0  0  0
 5  0      0 94642416  25148 1912012    0    0     0     0 1124250 281282  9 11 79  0  0  0
16  0      0 94642416  25148 1912036    0    0     0     0 1123972 282726 11 12 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 94642172  25148 1912056    0    0     0     0 1126658 281268 11 12 77  0  0  0
 9  0      0 94642172  25148 1912080    0    0     0     5 1128047 283024 10 11 79  0  0  0
 9  0      0 94640124  25148 1912100    0    0     0     0 1126980 282884 11 11 78  0  0  0
15  0      0 94639872  25148 1912120    0    0     0     0 1115999 281187 10 11 79  0  0  0
 7  0      0 94639872  25148 1912140    0    0     0     0 1124436 282787 11 12 77  0  0  0
