Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:47:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:47:28        all      0.06      0.00      0.00      0.00      0.00     99.94
14:47:29        all      0.02      0.00      0.00      0.00      0.00     99.98
14:47:30        all      0.00      0.00      0.00      0.00      0.00    100.00
14:47:31        all      0.00      0.00      0.00      0.00      0.00    100.00
14:47:32        all      0.88      0.00      2.84      0.08      0.00     96.20
14:47:33        all      2.24      0.00     13.15      0.00      0.00     84.61
14:47:34        all      2.18      0.00     13.73      0.00      0.00     84.09
14:47:35        all      2.28      0.00     12.03      0.00      0.00     85.69
14:47:36        all      2.15      0.00     13.24      0.00      0.00     84.61
14:47:37        all      2.84      0.00     13.83      0.00      0.00     83.33
14:47:38        all      2.17      0.00     13.12      0.00      0.00     84.71
14:47:39        all      2.78      0.00     12.43      0.00      0.00     84.79
14:47:40        all      2.74      0.00     12.96      0.00      0.00     84.30
14:47:41        all      2.42      0.00     11.68      0.00      0.00     85.90
14:47:42        all      2.67      0.00     12.76      0.00      0.00     84.57
14:47:43        all      2.71      0.00     13.75      0.00      0.00     83.55
14:47:44        all      3.08      0.00     14.36      0.00      0.00     82.56
14:47:45        all      2.97      0.00     14.12      0.00      0.00     82.90
14:47:46        all      2.93      0.00     12.57      0.00      0.00     84.50
14:47:47        all      2.33      0.00     13.03      0.00      0.00     84.64
14:47:48        all      2.65      0.00     13.47      0.02      0.00     83.85
14:47:49        all      2.79      0.00     13.37      0.00      0.00     83.84
14:47:50        all      2.98      0.00     14.49      0.00      0.00     82.53
14:47:51        all      2.55      0.00     14.19      0.00      0.00     83.26
14:47:52        all      2.33      0.00     12.63      0.00      0.00     85.04
14:47:53        all      2.81      0.00     13.45      0.00      0.00     83.73
Average:        all      2.12      0.00     10.70      0.00      0.00     87.18
