Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:47:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:47:24        all      0.04      0.00      0.02      0.00      0.00     99.94
14:47:25        all      0.04      0.00      0.04      0.00      0.00     99.92
14:47:26        all      0.02      0.00      0.00      0.00      0.00     99.98
14:47:27        all      0.00      0.00      0.02      0.00      0.00     99.98
14:47:28        all      0.02      0.00      0.00      0.00      0.00     99.98
14:47:29        all      0.00      0.00      0.02      0.00      0.00     99.98
14:47:30        all      0.02      0.00      0.00      0.00      0.00     99.98
14:47:31        all      0.00      0.00      0.02      0.00      0.00     99.98
14:47:32        all      2.51      0.00      2.74      0.00      0.00     94.75
14:47:33        all      7.90      0.00      8.43      0.00      0.00     83.67
14:47:34        all      8.50      0.00      7.85      0.00      0.00     83.65
14:47:35        all      7.80      0.00      9.28      0.00      0.00     82.92
14:47:36        all      8.35      0.00      8.28      0.00      0.00     83.37
14:47:37        all      7.97      0.00      8.97      0.00      0.00     83.06
14:47:38        all      8.02      0.00      8.19      0.00      0.00     83.79
14:47:39        all      7.73      0.00      8.26      0.00      0.00     84.01
14:47:40        all      8.19      0.00      7.88      0.00      0.00     83.93
14:47:41        all      8.72      0.00      8.32      0.00      0.00     82.96
14:47:42        all      8.62      0.00      8.43      0.00      0.00     82.95
14:47:43        all      8.07      0.00      8.18      0.00      0.00     83.75
14:47:44        all      8.05      0.00      8.48      0.00      0.00     83.47
14:47:45        all      7.66      0.00      8.10      0.00      0.00     84.24
14:47:46        all      8.05      0.00      8.01      0.00      0.00     83.94
14:47:47        all      7.96      0.00      8.15      0.00      0.00     83.89
14:47:48        all      7.78      0.00      8.59      0.00      0.00     83.63
14:47:49        all      7.71      0.00      8.74      0.00      0.00     83.55
Average:        all      5.32      0.00      5.52      0.00      0.00     89.16
