Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:50:28        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:50:29        all      0.08      0.00      0.00      0.00      0.00     99.92
14:50:30        all      0.08      0.00      0.00      0.00      0.00     99.92
14:50:31        all      0.00      0.00      0.00      0.00      0.00    100.00
14:50:32        all      0.00      0.00      0.00      0.00      0.00    100.00
14:50:33        all      1.20      0.00      4.60      0.13      0.00     94.08
14:50:34        all      2.97      0.00     17.12      0.00      0.00     79.91
14:50:35        all      3.57      0.00     17.03      0.00      0.00     79.41
14:50:36        all      3.00      0.00     16.60      0.00      0.00     80.40
14:50:37        all      3.10      0.00     16.03      0.00      0.00     80.87
14:50:38        all      3.92      0.00     17.74      0.00      0.00     78.35
14:50:39        all      3.38      0.00     16.66      0.00      0.00     79.97
14:50:40        all      3.33      0.00     17.75      0.00      0.00     78.93
14:50:41        all      3.49      0.00     19.33      0.00      0.00     77.18
14:50:42        all      4.25      0.00     18.47      0.00      0.00     77.28
14:50:43        all      2.86      0.00     16.46      0.00      0.00     80.68
14:50:44        all      2.79      0.00     16.78      0.00      0.00     80.43
14:50:45        all      3.09      0.00     16.72      0.00      0.00     80.19
14:50:46        all      3.86      0.00     17.33      0.00      0.00     78.82
14:50:47        all      3.58      0.00     17.74      0.00      0.00     78.68
14:50:48        all      3.39      0.00     18.78      0.00      0.00     77.82
14:50:49        all      3.66      0.00     18.91      0.00      0.00     77.43
14:50:50        all      3.25      0.00     16.41      0.00      0.00     80.35
14:50:51        all      3.58      0.00     16.79      0.00      0.00     79.63
14:50:52        all      3.89      0.00     17.05      0.00      0.00     79.06
14:50:53        all      3.43      0.00     18.95      0.00      0.00     77.61
14:50:54        all      3.23      0.00     17.82      0.00      0.00     78.94
Average:        all      2.78      0.00     14.11      0.01      0.00     83.11
