Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:50:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:50:25        all      0.10      0.00      0.02      0.00      0.00     99.88
14:50:26        all      0.10      0.00      0.04      0.00      0.00     99.85
14:50:27        all      0.02      0.00      0.02      0.00      0.00     99.96
14:50:28        all      0.02      0.00      0.00      0.00      0.00     99.98
14:50:29        all      0.00      0.00      0.02      0.00      0.00     99.98
14:50:30        all      0.02      0.00      0.00      0.00      0.00     99.98
14:50:31        all      0.00      0.00      0.02      0.00      0.00     99.98
14:50:32        all      0.02      0.00      0.00      0.00      0.00     99.98
14:50:33        all     11.24      0.00      9.37      0.00      0.00     79.39
14:50:34        all     27.55      0.00     23.73      0.00      0.00     48.71
14:50:35        all     26.55      0.00     24.69      0.00      0.00     48.76
14:50:36        all     31.64      0.00     21.82      0.00      0.00     46.54
14:50:37        all     27.91      0.00     23.27      0.00      0.00     48.82
14:50:38        all     29.49      0.00     21.51      0.00      0.00     48.99
14:50:39        all     28.27      0.00     23.01      0.00      0.00     48.72
14:50:40        all     29.27      0.00     22.01      0.00      0.00     48.72
14:50:41        all     27.60      0.00     24.17      0.00      0.00     48.23
14:50:42        all     28.41      0.00     21.91      0.00      0.00     49.67
14:50:43        all     29.08      0.00     21.54      0.00      0.00     49.38
14:50:44        all     29.07      0.00     22.53      0.00      0.00     48.40
14:50:45        all     27.98      0.00     23.53      0.00      0.00     48.49
14:50:46        all     28.44      0.00     23.23      0.00      0.00     48.33
14:50:47        all     28.27      0.00     21.98      0.00      0.00     49.76
14:50:48        all     27.03      0.00     23.30      0.00      0.00     49.67
14:50:49        all     26.65      0.00     23.94      0.00      0.00     49.41
14:50:50        all     27.58      0.00     22.89      0.00      0.00     49.52
Average:        all     18.69      0.00     15.12      0.00      0.00     66.19
