Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:49:29      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:49:30            0       593      2.30      1.82      1.42         0
14:49:31            0       592      2.30      1.82      1.42         0
14:49:32            0       592      2.12      1.79      1.41         0
14:49:33            0       605      2.12      1.79      1.41         1
14:49:34            3       664      2.12      1.79      1.41         0
14:49:35            4       664      2.12      1.79      1.41         0
14:49:36            7       664      2.12      1.79      1.41         0
14:49:37            3       664      2.35      1.84      1.43         0
14:49:38            3       664      2.35      1.84      1.43         0
14:49:39            7       664      2.35      1.84      1.43         0
14:49:40           10       664      2.35      1.84      1.43         0
14:49:41            8       664      2.35      1.84      1.43         0
14:49:42            9       664      2.64      1.91      1.45         0
14:49:43            7       664      2.64      1.91      1.45         0
14:49:44           13       664      2.64      1.91      1.45         0
14:49:45            7       664      2.64      1.91      1.45         0
14:49:46           10       664      2.64      1.91      1.45         0
14:49:47            6       664      2.67      1.93      1.46         0
14:49:48            3       664      2.67      1.93      1.46         0
14:49:49            6       664      2.67      1.93      1.46         0
14:49:50            3       664      2.67      1.93      1.46         0
14:49:51            5       664      2.67      1.93      1.46         0
14:49:52            6       664      3.02      2.01      1.49         0
14:49:53           14       663      3.02      2.01      1.49         0
14:49:54            7       663      3.02      2.01      1.49         0
14:49:55            8       661      3.02      2.01      1.49         0
Average:            6       653      2.52      1.89      1.44         0
