procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95901312  24340 792748    0    0     4   161 83033   17  0  1 99  0  0  0
 0  0      0 95900596  24340 792756    0    0     0     0  628  317  0  0 100  0  0  0
 0  0      0 95900092  24340 792760    0    0     0     0  747  500  0  0 100  0  0  0
 0  0      0 95900092  24340 792772    0    0     0     0  740  295  0  0 100  0  0  0
 0  0      0 95900092  24340 792772    0    0     0     0  126  132  0  0 100  0  0  0
 0  0      0 95900092  24340 792772    0    0     0     9  242  169  0  0 100  0  0  0
 4  0      0 95865200  24348 792948    0    0     0   591 816342 863966  1  7 91  0  0  0
11  0      0 95863360  24348 792980    0    0     0     0 1460211 1537154  3 13 85  0  0  0
 7  0      0 95862920  24348 792980    0    0     0     0 1461053 1539194  3 13 84  0  0  0
 6  0      0 95862936  24348 792984    0    0     0     0 1453295 1538459  2 13 84  0  0  0
12  0      0 95862712  24348 792984    0    0     0     0 1433246 1525481  2 14 84  0  0  0
10  0      0 95862540  24348 792984    0    0     0    15 1441358 1529359  3 13 85  0  0  0
 7  0      0 95862324  24348 792984    0    0     0     0 1426408 1523723  3 13 84  0  0  0
13  0      0 95862392  24348 792984    0    0     0     0 1430427 1532031  2 14 84  0  0  0
 9  0      0 95862168  24348 792988    0    0     0     0 1421896 1522562  3 14 84  0  0  0
 9  0      0 95861984  24348 792992    0    0     0     0 1430633 1520925  2 13 85  0  0  0
 5  0      0 95861800  24348 792992    0    0     0     5 1438710 1524695  3 13 84  0  0  0
 6  0      0 95861856  24348 792992    0    0     0     0 1443299 1530321  3 13 84  0  0  0
 6  0      0 95861888  24348 792992    0    0     0     0 1453524 1533516  3 12 85  0  0  0
 7  0      0 95861952  24348 792992    0    0     0     0 1463491 1538178  3 12 85  0  0  0
 4  0      0 95861980  24348 792992    0    0     0     0 1449431 1542449  3 13 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 95862056  24348 792992    0    0     0     5 1474569 1553583  3 12 86  0  0  0
 8  0      0 95861624  24348 792992    0    0     0     0 1462306 1544654  2 12 86  0  0  0
 6  0      0 95861656  24348 792996    0    0     0     0 1463331 1548792  3 12 85  0  0  0
 4  0      0 95861680  24348 792996    0    0     0     0 1441815 1527674  3 13 84  0  0  0
 7  0      0 95861432  24348 793000    0    0     0     0 1429387 1524603  3 13 84  0  0  0
