Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:49:25      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:49:26            0       634      2.10      1.81      1.80         0
14:49:27            0       635      2.10      1.81      1.80         0
14:49:28            0       633      2.10      1.81      1.80         0
14:49:29            0       633      2.10      1.81      1.80         0
14:49:30            0       633      2.10      1.81      1.80         0
14:49:31            0       633      1.93      1.78      1.79         0
14:49:32            0       633      1.93      1.78      1.79         0
14:49:33            0       633      1.93      1.78      1.79         0
14:49:34            5       633      1.93      1.78      1.79         0
14:49:35           11       633      1.93      1.78      1.79         0
14:49:36            9       633      2.66      1.93      1.84         0
14:49:37            8       633      2.66      1.93      1.84         0
14:49:38            5       633      2.66      1.93      1.84         0
14:49:39           11       633      2.66      1.93      1.84         0
14:49:40            8       633      2.66      1.93      1.84         0
14:49:41           11       633      3.00      2.02      1.87         0
14:49:42           10       633      3.00      2.02      1.87         0
14:49:43            9       633      3.00      2.02      1.87         0
14:49:44            8       633      3.00      2.02      1.87         0
14:49:45            8       633      3.00      2.02      1.87         0
14:49:46            7       633      3.32      2.10      1.90         0
14:49:47            8       633      3.32      2.10      1.90         0
14:49:48            9       633      3.32      2.10      1.90         0
14:49:49           10       632      3.32      2.10      1.90         0
14:49:50           10       633      3.32      2.10      1.90         0
14:49:51            8       631      3.86      2.23      1.94         0
Average:            6       633      2.65      1.94      1.84         0
