procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 94654448  25176 1911724    0    0     4   467 56278    3  1  1 99  0  0  0
 0  0      0 94652940  25176 1911736    0    0     0    18  828  578  0  0 100  0  0  0
 0  0      0 94652692  25176 1911744    0    0     0     0  773  404  0  0 100  0  0  0
 1  0      0 94651960  25176 1911748    0    0     0     0  645  390  0  0 100  0  0  0
 0  0      0 94651736  25176 1911816    0    0     0     0  324  231  0  0 100  0  0  0
 0  0      0 94651736  25176 1911832    0    0     0     0  236  290  0  0 100  0  0  0
 0  0      0 94651736  25176 1911852    0    0     0    11  130  141  0  0 100  0  0  0
 0  0      0 94651484  25176 1911872    0    0     0     0  120  130  0  0 100  0  0  0
 0  0      0 94651484  25176 1911888    0    0     0     0  119  123  0  0 100  0  0  0
 0  0      0 94651484  25176 1911912    0    0     0     0  409  242  0  0 100  0  0  0
 8  0      0 94650368  25176 1911936    0    0     0     0 700832 230022  8  6 86  0  0  0
 5  0      0 94656052  25176 1911952    0    0     0     1 932343 302550 11  9 80  0  0  0
 9  0      0 94654576  25176 1911972    0    0     0     5 934880 300739 12  9 80  0  0  0
 9  0      0 94654328  25176 1912000    0    0     0     0 933892 303166 11  9 80  0  0  0
 9  0      0 94654708  25176 1912024    0    0     0     0 926718 302036 11  9 80  0  0  0
 7  0      0 94653952  25176 1912044    0    0     0     0 928431 300377 11  9 79  0  0  0
 9  0      0 94653476  25176 1912068    0    0     0     0 927638 300676 11  9 80  0  0  0
 9  0      0 94653476  25176 1912088    0    0     0     5 931205 300598 11  9 80  0  0  0
 6  0      0 94655436  25176 1912108    0    0     0     0 924456 299394 11  9 80  0  0  0
 6  0      0 94655468  25176 1912128    0    0     0     0 922561 299418 11  9 80  0  0  0
11  0      0 94654964  25176 1912152    0    0     0     0 929834 300675 12  8 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 94654460  25176 1912172    0    0     0     0 929847 301612 11  9 80  0  0  0
 9  0      0 94653732  25176 1912196    0    0     0     5 933429 301757 11  9 80  0  0  0
 8  0      0 94653544  25176 1912216    0    0     0     0 933405 300830 11  9 80  0  0  0
10  0      0 94653068  25176 1912240    0    0     0     0 938083 302153 10 10 80  0  0  0
 9  0      0 94652844  25176 1912260    0    0     0     0 938579 302679 12  9 79  0  0  0
